,carat,cut_ord,clarity_ord,Predicted Price,cut,color,clarity
0,1.22,4,3,6477.33,Fair,G,VS2
1,1.01,2,5,5625.15,Good,G,VS2
2,0.71,3,5,2001.0,Very Good,I,VS2
3,1.01,5,2,4808.62,Ideal,D,SI2
4,0.27,5,6,511.5,Ideal,H,VVS2
5,0.52,4,4,1759.38,Premium,G,VS1
6,1.01,4,3,4967.1,Premium,F,SI1
7,0.59,5,3,1772.89,Ideal,D,SI1
8,1.01,2,3,4833.97,Good,E,SI1
9,2.03,5,2,18556.5,Ideal,F,SI2
10,1.35,4,5,7990.0,Premium,H,I1
11,0.74,5,3,2878.67,Ideal,G,SI1
12,0.9,4,3,4214.76,Premium,D,SI1
13,0.3,2,5,546.75,Good,G,VS2
14,1.01,2,5,6050.75,Good,F,VS2
15,1.02,2,2,3856.75,Good,H,SI2
16,2.05,4,3,15291.0,Premium,G,SI1
17,0.54,5,3,1102.4,Ideal,I,SI1
18,0.72,5,5,2997.57,Ideal,F,VS2
19,2.0,4,2,11899.0,Premium,J,SI2
20,1.57,4,2,8832.0,Premium,G,SI2
21,0.89,4,3,3753.25,Premium,G,SI1
22,0.33,4,6,670.11,Premium,I,VVS2
23,0.3,3,8,859.22,Very Good,G,IF
24,1.79,3,5,12822.0,Very Good,I,VS2
25,1.11,5,2,5042.33,Ideal,E,SI2
26,0.79,4,3,2862.0,Premium,F,SI1
27,0.71,3,3,2345.54,Very Good,F,SI1
28,0.73,5,3,2630.1,Ideal,F,SI1
29,0.9,3,5,4337.23,Very Good,G,VS2
30,1.31,2,4,7143.0,Good,I,VS1
31,1.01,5,2,4547.43,Ideal,F,SI2
32,0.35,4,3,753.8,Premium,D,SI1
33,0.41,4,5,968.27,Premium,F,VS2
34,0.32,4,5,823.83,Premium,E,VS2
35,0.38,5,4,1052.22,Ideal,D,VS1
36,1.21,4,2,4907.0,Premium,I,SI2
37,1.0,4,3,4919.24,Premium,F,SI1
38,0.56,5,5,1668.67,Ideal,H,VS2
39,1.0,2,3,3698.0,Good,J,SI1
40,0.32,4,7,890.22,Premium,H,WS1
41,1.7,5,3,14623.0,Ideal,D,SI1
42,2.26,3,2,13907.0,Very Good,D,SI2
43,0.32,4,5,843.33,Premium,D,VS2
44,0.4,3,7,1142.25,Very Good,F,WS1
45,2.13,3,2,15454.0,Very Good,G,SI2
46,0.7,4,5,2489.42,Premium,G,I1
47,2.01,4,3,16858.75,Premium,H,SI1
48,1.15,4,3,5163.33,Premium,G,SI1
49,0.71,5,4,3350.94,Ideal,E,VS1
50,1.35,4,6,11118.0,Premium,G,IF
51,0.51,5,3,1513.0,Ideal,F,SI1
52,0.34,5,8,2316.5,Ideal,D,IF
53,1.58,5,4,14381.5,Ideal,F,VVS2
54,2.05,2,2,16295.0,Good,G,SI2
55,0.41,5,4,893.0,Ideal,H,VVS2
56,0.6,1,3,1468.0,Fair,F,SI1
57,0.31,5,8,859.56,Ideal,H,IF
58,0.64,3,3,1938.5,Very Good,D,SI1
59,0.71,4,3,1853.0,Premium,J,SI1
60,0.55,5,5,1730.82,Ideal,F,VS2
61,1.26,3,6,9158.0,Very Good,G,VVS2
62,1.03,4,4,6704.0,Premium,G,VS1
63,1.01,4,2,3881.63,Premium,H,SI2
64,0.25,3,6,574.3,Very Good,E,VVS2
65,0.9,4,3,3431.44,Premium,H,SI1
66,0.45,4,4,1358.0,Premium,D,VS1
67,0.3,5,8,895.12,Ideal,F,IF
68,0.9,2,2,3594.0,Good,D,SI2
69,0.8,3,5,3420.0,Very Good,F,VS2
70,0.33,4,4,784.54,Premium,G,VS1
71,0.71,5,3,2502.16,Ideal,G,SI1
72,0.7,4,3,2517.33,Premium,D,SI1
73,0.78,5,2,2332.0,Ideal,H,SI2
74,0.7,3,2,2043.89,Good,D,SI2
75,0.38,5,6,1021.6,Ideal,F,VVS2
76,0.54,4,5,1232.0,Premium,J,VS2
77,0.25,2,6,490.5,Good,E,VVS2
78,2.5,2,5,16842.0,Good,J,VS2
79,0.72,2,4,3253.0,Ideal,E,VVS2
80,0.41,5,5,960.17,Ideal,E,VS2
81,2.03,5,2,14603.5,Ideal,G,SI2
82,1.24,4,3,6835.0,Premium,D,SI1
83,0.92,4,2,3563.2,Premium,G,SI2
84,1.0,1,2,3706.9,Fair,E,SI2
85,0.57,5,4,2040.62,Ideal,F,VS1
86,0.54,5,3,1717.33,Ideal,D,SI1
87,1.08,4,2,4200.25,Premium,H,SI2
88,0.54,3,7,1440.0,Very Good,H,WS1
89,0.63,3,5,2241.0,Very Good,F,VS2
90,1.58,4,3,13995.0,Premium,E,SI1
91,0.3,3,5,691.94,Very Good,D,VS2
92,1.56,5,6,15144.0,Ideal,G,VVS2
93,0.26,3,6,617.0,Very Good,F,VVS2
94,0.57,5,5,1949.12,Ideal,E,VS2
95,0.39,5,8,1368.0,Ideal,F,IF
96,1.13,3,2,4633.5,Very Good,G,SI2
97,1.09,5,3,5095.8,Ideal,H,SI1
98,1.52,5,2,9490.5,Ideal,E,SI2
99,1.01,3,4,7827.64,Very Good,E,VS1
100,1.21,4,2,5306.89,Premium,H,SI2
101,0.5,5,3,1283.0,Ideal,H,SI1
102,1.33,4,2,7215.5,Premium,E,SI2
103,0.52,3,5,1743.2,Very Good,D,VS2
104,0.33,5,2,467.0,Ideal,H,SI2
105,1.06,4,2,4238.0,Premium,G,SI2
106,0.9,4,2,3589.27,Premium,F,SI2
107,0.92,5,4,4820.0,Ideal,H,VS1
108,1.54,4,5,15150.67,Premium,D,VS2
109,1.0,4,2,4222.45,Premium,E,SI2
110,1.2,5,4,8910.29,Ideal,G,VS1
111,1.0,5,3,5455.36,Ideal,E,SI1
112,0.33,3,3,605.56,Very Good,E,SI1
113,0.38,5,8,1402.0,Ideal,E,IF
114,0.55,5,6,1705.0,Ideal,H,VVS2
115,0.31,4,5,488.0,Premium,J,VS2
116,1.13,5,4,9448.0,Ideal,D,VS1
117,0.33,4,3,694.0,Premium,D,SI1
118,1.03,4,5,6367.75,Premium,E,VS2
119,0.53,3,3,1324.33,Very Good,F,SI1
120,1.0,2,1,2717.0,Good,F,I1
121,0.8,3,4,3612.4,Very Good,F,VS1
122,1.25,2,2,4331.0,Good,I,SI2
123,0.5,3,3,1313.33,Very Good,E,SI1
124,0.56,5,5,2005.67,Ideal,D,VS2
125,0.46,5,5,972.67,Ideal,J,VS2
126,2.1,4,2,16479.0,Premium,H,SI2
127,0.77,5,3,3135.25,Ideal,D,VS2
128,0.53,4,5,1384.0,Premium,H,VS2
129,0.75,3,4,3043.5,Very Good,F,VS1
130,0.41,4,6,1126.18,Premium,F,VVS2
131,0.41,5,7,1118.62,Ideal,F,WS1
132,0.51,5,5,1799.55,Ideal,D,VS2
133,0.34,4,5,689.3,Premium,G,VS2
134,0.51,5,2,1178.25,Ideal,E,SI2
135,0.3,4,3,533.0,Premium,H,SI1
136,1.5,2,2,7520.5,Good,G,SI2
137,1.01,3,2,4306.25,Very Good,F,SI2
138,1.1,5,4,7580.8,Ideal,G,VS1
139,0.5,2,3,1327.91,Good,D,SI1
140,1.0,2,6,8326.0,Good,E,VVS2
141,1.22,5,4,6201.0,Ideal,I,VS1
142,1.51,5,2,8951.0,Ideal,H,SI2
143,0.31,5,7,891.69,Ideal,E,WS1
144,0.95,4,2,4106.0,Premium,E,SI1
145,1.06,3,2,4132.0,Very Good,I,SI2
146,1.39,4,5,11456.5,Premium,E,VS2
147,1.01,3,5,5056.4,Very Good,H,VS2
148,0.72,4,3,2769.17,Premium,E,SI1
149,0.51,4,4,1807.0,Premium,D,VS1
150,1.5,3,2,9747.5,Very Good,D,SI2
151,0.7,4,7,3311.0,Premium,G,WS1
152,1.01,4,2,3881.63,Premium,H,SI2
153,0.3,5,3,433.7,Ideal,I,SI1
154,1.29,4,3,7790.0,Premium,F,SI1
155,1.01,3,5,6411.34,Very Good,F,VS2
156,0.33,5,5,504.25,Ideal,I,VS2
157,1.53,4,2,6512.0,Premium,H,SI2
158,0.85,4,2,2737.0,Premium,D,SI2
159,0.33,5,5,672.81,Ideal,G,VS2
160,0.6,5,7,3710.0,Ideal,D,WS1
161,0.63,4,4,1831.0,Premium,I,VS1
162,1.04,4,2,4217.5,Premium,G,SI2
163,2.01,3,2,13562.89,Very Good,H,SI2
164,0.71,4,3,2645.12,Premium,E,SI1
165,0.3,3,6,722.93,Very Good,G,VVS2
166,1.74,5,4,11150.0,Ideal,J,VVS2
167,1.06,5,3,5798.0,Ideal,E,SI1
168,0.7,1,3,2236.0,Fair,G,SI1
169,1.52,3,5,12234.57,Very Good,G,VS2
170,0.41,5,5,989.0,Ideal,F,VS2
